         39002 function calls (38690 primitive calls) in 1.461 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/glob.py:105(_glob1)
        1    0.000    0.000    0.001    0.001 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/utils/validation.py:981(check_X_y)
       28    0.000    0.000    0.001    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/logging/__init__.py:1636(handle)
       28    0.000    0.000    0.001    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/logging/__init__.py:1690(callHandlers)
    35/34    0.000    0.000    0.001    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/series.py:368(__init__)
       56    0.000    0.000    0.001    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/logging/__init__.py:965(handle)
        1    0.000    0.000    0.001    0.001 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/commons/utils/data_utils.py:4(count_positive_and_negative_labels)
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:177(count_nonzero)
        1    0.000    0.000    0.001    0.001 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/numpy/core/numeric.py:432(count_nonzero)
        1    0.001    0.001    0.001    0.001 {built-in method numpy.core._multiarray_umath.count_nonzero}
     1040    0.001    0.000    0.001    0.000 <frozen posixpath>:71(join)
        4    0.000    0.000    0.001    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/reshape/concat.py:393(__init__)
        1    0.000    0.000    0.001    0.001 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/fnmatch.py:48(filter)
        2    0.000    0.000    0.001    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/glob.py:175(_listdir)
     1040    0.001    0.000    0.001    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/glob.py:141(_iterdir)
3254/3209    0.000    0.000    0.001    0.000 {built-in method builtins.isinstance}
       56    0.000    0.000    0.001    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/logging/__init__.py:1098(emit)
       19    0.000    0.000    0.001    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/apply.py:859(<genexpr>)
       18    0.000    0.000    0.001    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/frame.py:3639(_ixs)
       18    0.000    0.000    0.001    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/algorithms.py:250(_get_hashtable_algo)
        4    0.000    0.000    0.001    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/reshape/concat.py:631(_get_new_axes)
        4    0.000    0.000    0.001    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/reshape/concat.py:633(<listcomp>)
     3116    0.000    0.000    0.001    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/enum.py:192(__get__)
        1    0.000    0.000    0.001    0.001 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/data_loading/data_loading.py:143(<listcomp>)
       19    0.000    0.000    0.001    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/logging/handlers.py:65(emit)
        1    0.000    0.000    0.001    0.001 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/data_loading/data_loading.py:145(<listcomp>)
        1    0.000    0.000    0.001    0.001 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/data_loading/data_loading.py:144(<listcomp>)
       35    0.000    0.000    0.001    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/indexes/base.py:5313(equals)
       51    0.000    0.000    0.001    0.000 {built-in method builtins.all}
        8    0.000    0.000    0.001    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/generic.py:6130(dtypes)
        2    0.000    0.000    0.001    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/reshape/concat.py:638(_get_comb_axis)
        2    0.000    0.000    0.001    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/indexes/api.py:68(get_objs_combined_axis)
        2    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/indexes/api.py:112(_get_combined_index)
       28    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/logging/__init__.py:1216(emit)
       75    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/logging/__init__.py:942(format)
      358    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/glob.py:133(_glob2)
        1    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/glob.py:180(_rlistdir)
       75    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/logging/__init__.py:674(format)
       28    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/logging/__init__.py:1595(makeRecord)
       18    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/algorithms.py:105(_ensure_data)
       28    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/logging/__init__.py:292(__init__)
        1    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/indexes/api.py:194(union_indexes)
       37    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        4    0.000    0.000    0.000    0.000 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/commons/utils/results_utils.py:9(time_measure_result)
       18    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/dtypes/missing.py:669(remove_na_arraylike)
       14    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/construction.py:494(sanitize_array)
       19    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/logging/handlers.py:183(shouldRollover)
       18    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/frame.py:4236(_box_col_values)
       16    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/indexes/api.py:299(<genexpr>)
      437    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/dtypes/generic.py:42(_instancecheck)
        1    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/apply.py:822(wrap_results)
        6    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/accessor.py:220(__get__)
       56    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/logging/__init__.py:1087(flush)
        6    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/arrays/sparse/accessor.py:29(__init__)
       18    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/dtypes/missing.py:352(notna)
        4    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/arrays/sparse/accessor.py:231(_validate)
        1    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/fnmatch.py:38(_compile_pattern)
     1039    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/glob.py:108(<genexpr>)
       18    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/algorithms.py:268(_check_object_for_strings)
       29    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/generic.py:5931(__finalize__)
      100    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/dtypes/common.py:158(is_object_dtype)
     3115    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/series.py:4516(apply)
        1    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/apply.py:1010(apply)
        1    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/re/__init__.py:225(compile)
    31/29    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/generic.py:5975(__getattr__)
       21    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/dtypes/missing.py:106(isna)
        1    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/re/__init__.py:272(_compile)
     1070    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
        1    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/series.py:521(_init_dict)
        1    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/apply.py:1061(apply_standard)
       21    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/dtypes/missing.py:189(_isna)
       18    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/internals/managers.py:1084(iget)
        2    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/contextlib.py:132(__enter__)
        1    0.000    0.000    0.000    0.000 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/re/_compiler.py:738(compile)
